Place of interest,Type of place,Place address,BiciMAD station,Station location
Colegio Público Marqués de Suanzes,Colegios públicos,AVENIDA VEINTICINCO DE SEPTIEMBRE 1,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Colegio Público Martínez Montañés,Colegios públicos,CALLE HACIENDA DE PAVONES 223,Pavones,Calle Hacienda de Pavones nº 342
Colegio Público María Moliner,Colegios públicos,CALLE ARCOS DE JALON 34,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Colegio Público María de Villota,Colegios públicos,CALLE ENRIQUE GARCIA ALVAREZ 11,Pavones,Calle Hacienda de Pavones nº 342
Colegio Público Menéndez Pelayo,Colegios públicos,CALLE MENDEZ ALVARO 16,Atocha B,Paseo de la Infanta Isabel nº 3
Colegio Público Menéndez Pidal,Colegios públicos,CALLE ENCOMIENDA DE PALACIOS 85,Pavones,Calle Hacienda de Pavones nº 342
Colegio Público Meseta de Orcasitas,Colegios públicos,CALLE CAMINO VIEJO DE VILLAVERDE 1,Glorieta de Cádiz,Calle Antonio López nº 129
Colegio Público Mesonero Romanos,Colegios públicos,CALLE PONT DE MOLINS 31,Pavones,Calle Hacienda de Pavones nº 342
Colegio Público Miguel Blasco Vilatela,Colegios públicos,CALLE HERMANOS GARCIA NOBLEJAS 70,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Colegio Público Miguel Servet,Colegios públicos,CALLE FRAGATA 33,Caramuel,Calle Caramuel nº 51
Colegio Público Miguel de Unamuno,Colegios públicos,CALLE ALICANTE 5,Beata,Calle Alicante nº 3
Colegio Público Mirasierra,Colegios públicos,CALLE LA MASO 22,Pedro Rico,Calle Pedro Rico nº 4
Colegio Público Monte de El Pardo,Colegios públicos,AVENIDA GUARDIA 19,Facultad Derecho,Avenida Complutense nº 23
Colegio Público Méjico (México),Colegios públicos,AVENIDA BADAJOZ 74,Carlota O’Neill,Calle Carlota O'Neill nº 32
Colegio Público Méndez Núñez,Colegios públicos,CALLE ALICUN 9,Chamartín,Calle Rodríguez Jaén nº 40
Colegio Público Navas de Tolosa,Colegios públicos,CALLE BENIMAMET 109,Embajadores 191,Calle Sodio nº 1B
Colegio Público Nuestra Señora de la Almudena,Colegios públicos,CALLE LOPE DE RUEDA 48,Retiro-Ibiza,Calle Ibiza nº 18
Colegio Público Nuestra Señora de la Concepción,Colegios públicos,CALLE VIRGEN DEL SAGRARIO 24,C.D. Concepción,Calle Jose del Hierro nº 5
Colegio Público Nuestra Señora de la Fuencisla,Colegios públicos,CALLE TOMELLOSO 39,Glorieta de Cádiz,Calle Antonio López nº 129
Colegio Público Nuestra Señora de la Luz,Colegios públicos,CALLE MAGNESIA 9,Glorieta de Cádiz,Calle Antonio López nº 129
Colegio Público Nuestra Señora de la Paloma,Colegios públicos,CALLE TABERNILLAS 2,Plaza de los Carros,Carrera de San Francisco nº 1
Colegio Público Nuestra Señora del Lucero,Colegios públicos,CALLE MUÑICO 1,Caramuel,Calle Caramuel nº 51
Colegio Público Nuria Espert,Colegios públicos,CALLE MARIA REICHE 34,Carlota O’Neill,Calle Carlota O'Neill nº 32
Colegio Público Pablo Picasso,Colegios públicos,CALLE ANGEL LUIS DE LA HERRAN 35,Carlota O’Neill,Calle Carlota O'Neill nº 32
Colegio Público Padre Coloma,Colegios públicos,CALLE GUTIERREZ CANALES 19,Gutierre de Cetina,Calle Gutierre de Cetina nº 77
Colegio Público Padre Mariana,Colegios públicos,RONDA SUR 145,Concordia,Calle Arroyo del Olivar nº 6
Colegio Público Padre Poveda,Colegios públicos,AVENIDA ALFONSO XIII 23,Corazón de María,Calle Santa Hortensia nº 31
Colegio Público Palacio Valdés,Colegios públicos,PASEO PRADO 38,Almadén,Calle Almadén nº 28
Colegio Público Palomeras Bajas,Colegios públicos,CALLE FELIPE DE DIEGO 6,Concordia,Calle Arroyo del Olivar nº 6
Colegio Público Parque Aluche,Colegios públicos,CALLE QUERO 47,Caramuel,Calle Caramuel nº 51
Colegio Público Parque Eugenia de Montijo,Colegios públicos,CALLE PARQUE EUGENIA DE MONTIJO 28,Caramuel,Calle Caramuel nº 51
Colegio Público Pasamonte,Colegios públicos,AVENIDA DOCTOR GARCIA TAPIA 47,Marroquina,Calle Camino de los Vinateros nº 108
Colegio Público Patriarca Obispo Eijo y Garay,Colegios públicos,CALLE LOPEZ DE HOYOS 40,Velázquez 130,Calle Velázquez nº 130
Colegio Público Pedro Duque,Colegios públicos,CALLE MARMOLINA 5,Pavones,Calle Hacienda de Pavones nº 342
Colegio Público Perú,Colegios públicos,CALLE BALEARES 18,San Delfín,Calle San Delfín nº 9
Colegio Público Pi I Margall,Colegios públicos,PLAZA DOS DE MAYO 2,San Andrés,Calle San Andrés nº 18
Colegio Público Pinar de San José,Colegios públicos,CALLE PATRIMONIO DE LA HUMANIDAD 39,Caramuel,Calle Caramuel nº 51
Colegio Público Pinar del Rey,Colegios públicos,AVENIDA SAN LUIS 23,Pío XII,Avenida Pío XII nº 3
Colegio Público Pintor Rosales,Colegios públicos,CALLE PRINCIPE DE VERGARA 139,María Francisca 1,Calle María Francisca nº 1
Colegio Público Plácido Domingo,Colegios públicos,CALLE TEJO 5,Méndez Álvaro,Calle Retama nº 5
Colegio Público Portugal,Colegios públicos,CALLE JUAN ALVAREZ MENDIZABAL 20,Ventura Rodríguez,Calle Duque de Liria
Colegio Público Pradolongo,Colegios públicos,CALLE PARQUE DE LA PALOMA 9,San Delfín,Calle San Delfín nº 9
Colegio Público Príncipe de Asturias,Colegios públicos,CALLE KANT 2,Pedro Rico,Calle Pedro Rico nº 4
Colegio Público Puerto Rico,Colegios públicos,CALLE SEGURA 74,Glorieta de Cádiz,Calle Antonio López nº 129
Colegio Público Pío Baroja,Colegios públicos,CALLE LUIS DE HOYOS SAINZ 84,Pavones,Calle Hacienda de Pavones nº 342
Colegio Público Pío XII,Colegios públicos,CALLE DELFIN 2,Remonta,Calle Azucenas nº 1
Colegio Público Rabindranath Tagore,Colegios públicos,CALLE JULIO PALACIOS 35,Pedro Rico,Calle Pedro Rico nº 4
